V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
8.5,3,0.8,1.05,0.7470510834507746,183.05426004706814,0.01475,0.012374207546295772,0.12439171616424424,0.14207812360659328,36.90009214629889,39,1,0,True
8.5,3,0.8,1.05,0.8032269501503028,181.96025638998836,0.01475,0.012413045511251292,0.1414357958356894,0.15445851606383665,34.824149415498496,39,2,0,True
8.5,3,0.8,1.05,0.7994151183055731,182.00169059256342,0.01475,0.012410609471567953,0.1402561307924619,0.15367578578169994,34.95524240370727,39,2,0,True
8.5,3,0.8,1.05,0.8398893541181589,181.79332657030815,0.01475,0.012434925175910347,0.15293166909213107,0.16191868857428357,33.629423862138275,39,3,0,True
8.5,3,0.8,0.9903548917914924,0.8108330205531054,182.07637378163278,0.01475,0.012417712913226691,0.15215635347573994,0.15580760017698322,34.601546904322944,39,4,0,True
8.5,3,0.8,0.9971030853510903,0.7910833245258464,182.0704464175903,0.01475,0.012403081765217783,0.14487036735572936,0.15187918681715942,35.26169778987034,39,5,0,True
8.5,3,0.8,1.05,0.7731091441873759,182.39672205619834,0.01475,0.01239276166238547,0.1322114533049746,0.14799119157422932,35.89660393876576,39,5,0,True
8.5,3,0.8,1.05,0.7975660762975129,182.02206723176516,0.01475,0.012409399961039479,0.1396856379576894,0.15329677683738227,35.019241635960746,39,5,0,True
8.5,3,0.8,1.05,0.8963272754456512,182.10095693780906,0.01475,0.012460210579056843,0.1711979498929565,0.17296722028236544,31.991691305052885,39,6,0,True
8.5,3,0.8,1.0182279577603823,0.7059992410842385,184.08751838451266,0.01475,0.012336747374469732,0.11615120562794533,0.13291057486465732,38.60117883932935,39,7,0,True
8.5,3,0.8,1.05,0.8565780718180087,181.8188233177135,0.01475,0.012443518523993911,0.15826326772011345,0.1652776644646647,33.12126311936823,39,8,0,True
8.5,3,0.8,1.0129057393642553,0.7739651863762204,182.24029594667996,0.01475,0.012390932107748897,0.137323889219503,0.148185787232247,35.864653127228216,39,8,0,True
8.5,3,0.8,1.05,0.7627012699586614,182.62972576440822,0.01475,0.012385485815090407,0.12906807790373115,0.14563341103231756,36.28878227604987,39,8,0,True
8.5,3,0.8,1.05,0.824970999931519,181.81937833732837,0.01475,0.012426464284282004,0.14821864857045425,0.1588932910608865,34.10192660409474,39,9,0,True
8.5,3,0.789969945843676,1.05,0.7856507713363307,183.9727829380555,0.01475,0.012480593953807557,0.13689385239039759,0.14861040797904507,35.795792762738735,39,10,0,True
8.5,3,0.7530980690310595,1.05,0.7701944144208294,191.26049774037182,0.01475,0.012774470410902187,0.13526891739518437,0.1371939389055952,37.78472685319773,39,10,0,True
8.5,3,0.8,0.9781152515003643,0.7453822267805399,182.31117150657667,0.01475,0.012361777773152413,0.13321143024147106,0.14186524826402197,36.93738114553488,39,10,0,True
8.5,3,0.8,1.05,0.801235203343676,181.97946714861868,0.01475,0.012411753485334472,0.14081983760453037,0.15405007353138592,34.892375834813585,39,10,0,True
8.5,3,0.8,1.05,0.8400355554753902,181.79639091096104,0.01475,0.012435042622276361,0.15297662472749265,0.16194712482370804,33.62504605683459,39,10,0,True
8.5,3,0.8,1.05,0.7776076262230425,182.31254496921764,0.01475,0.012395905307200736,0.13357607077884207,0.14900656458231046,35.730801976436084,39,11,0,True
8.5,3,0.8,1.0071735472722452,0.8205602628474501,182.060767532832,0.01475,0.01242502081168329,0.15282893313729193,0.15782070457422115,34.27352546338564,39,11,0,True
8.5,3,0.8,1.05,0.8635264016553874,181.84602138176265,0.01475,0.012446820802068338,0.1605007141053081,0.1666706014239225,32.91581836295021,39,12,0,True
8.5,3,0.8,1.0155299897108523,0.8095782094304741,182.0229448539518,0.01475,0.012417497057387157,0.1481285257652047,0.15565696068812507,34.62619611466114,39,12,0,True
8.5,3,0.7777857516637812,0.9979341620510471,0.774410769617519,186.24437345280933,0.01475,0.012567554926347743,0.1414533401613505,0.14343376666583327,36.66549085948944,39,13,0,True
8.5,3,0.794547348544241,0.9636182659744769,0.7079967549346672,183.82024527362606,0.01475,0.012365536973900497,0.12412822805231155,0.13258324996970486,38.66619565888959,39,15,0,True
8.5,3,0.7982574603641387,0.9413994405454158,0.7153128722584815,182.51998386469666,0.01475,0.012337203491237007,0.12914378669098975,0.13498783337992243,38.197645401508126,39,16,0,True
