V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
8.0,5,0.7829392934287117,0.9523713908972022,0.7266405856367213,140.32442244166717,0.012249999999999999,0.010519496678527761,0.14170920314678823,0.15722318642944802,34.40617588021431,39,1,0
8.0,5,0.7283104875258196,1.0399055709287657,0.7026766449119788,150.74495847584024,0.012249999999999999,0.01089268563042854,0.12579785513929803,0.1384740401657756,37.58228014293403,39,1,0
8.0,5,0.7905095203405705,0.957843887180813,0.6488024870515816,140.41010512324283,0.012249999999999999,0.010406331987458602,0.11629869845389482,0.14072418743949774,37.17207220003702,39,1,0
8.0,5,0.7936430390323823,0.7861260502970746,0.6014263634952813,137.56378483864336,0.012249999999999999,0.010308318179609578,0.12820663873517363,0.13250594530343057,38.71256684270047,39,1,0
8.0,5,0.7971645384895001,0.8920334446852127,0.6760072292949233,137.53002778830157,0.012249999999999999,0.010372944490641326,0.1340864004221238,0.14962377065437568,35.66507287576272,39,1,0
8.0,5,0.7491961398756213,0.9819430275401169,0.6977710230895966,146.07791748067893,0.012249999999999999,0.010725554087829832,0.1308519718665322,0.14285171834516616,36.800534715471265,39,1,0
8.0,5,0.7190303522143341,1.0378974586965974,0.7574937758142062,152.07456313379686,0.012249999999999999,0.011008713347862211,0.1437173022908297,0.14825884188238891,35.89033759224809,39,1,0
8.0,5,0.7998904339233016,0.9380671511069236,0.6871502917177961,137.94257616974926,0.012249999999999999,0.010376509383114666,0.13014704950693073,0.15231928266470984,35.22015354596083,39,1,0
8.0,5,0.7993452548365413,0.9288604098225814,0.6849216792332214,137.8535016086663,0.012249999999999999,0.010375720975122597,0.13090233390873096,0.15180773600748815,35.30824477719352,39,1,0
8.0,5,0.7989091115671331,0.9214950167951077,0.6831387892455618,137.78291218772557,0.012249999999999999,0.01037509526857019,0.1315187969223131,0.15140004965049134,35.37891630608901,39,1,0
8.0,5,0.7985601969516065,0.9156027023731287,0.6817124772554342,137.73465914184098,0.012249999999999999,0.010374697153027081,0.13201566464454303,0.15105733555153905,35.43616978845866,39,1,0
8.0,5,0.7982810652591852,0.9108888508355455,0.680571427663332,137.69371175396674,0.012249999999999999,0.010374347829164141,0.13241986737703543,0.15076946955059348,35.48185189433558,39,1,0
8.0,5,0.7980577599052482,0.907117769605479,0.6796585879896503,137.6539654186122,0.012249999999999999,0.010373978967769964,0.1327506765132969,0.15054308003316846,35.51790020408185,39,1,0
8.0,5,0.7978791156220986,0.9041009046214257,0.6789283162507048,137.62965289952234,0.012249999999999999,0.010373778613794474,0.13301340630098474,0.15035874218400852,35.547332061712176,39,1,0
8.0,5,0.7977362001955789,0.9016874126341832,0.6783440988595485,137.60866359033153,0.012249999999999999,0.010373598560055137,0.13322593281126804,0.15021223949610799,35.570774308840775,39,1,0
8.0,5,0.7976218678543631,0.8997566190443891,0.6778767249466235,137.5895519210544,0.012249999999999999,0.010373424923085631,0.13339822163943066,0.15009622554710517,35.589359289823186,39,1,0
8.0,5,0.7975304019813905,0.8982119841725538,0.6775028258162834,137.58033736447024,0.012249999999999999,0.010373363126437642,0.13353323077301693,0.1500002722295838,35.60469804105781,39,1,0
8.0,5,0.7974572292830124,0.8969762762750856,0.6772037065120114,137.57110434462788,0.012249999999999999,0.010373290004694695,0.133642685959264,0.14992446490262806,35.616830125749324,39,1,0
8.0,5,0.7973986911243099,0.895987709957111,0.6769644110685938,137.55819169365583,0.012249999999999999,0.010373161248534357,0.13373363716894168,0.14986650261977957,35.62611465209621,39,1,0
8.0,5,0.797351860597348,0.8951968569027313,0.6767729747138597,137.5547809328997,0.012249999999999999,0.010373146163294275,0.13380263821559485,0.14981684773967655,35.634073974076436,39,1,0
8.0,5,0.7973143961757784,0.8945641744592276,0.6766198256300724,137.54826143174014,0.012249999999999999,0.010373085910488983,0.13386009476208563,0.14977895359055737,35.640151740800015,39,1,0
8.0,5,0.7972844246385228,0.8940580285044246,0.6764973063630426,137.54531648116202,0.012249999999999999,0.010373066552906554,0.13390483749801602,0.1497475624978701,35.64518875033368,39,1,0
8.0,5,0.7972604474087182,0.8936531117405823,0.6763992909494188,137.5426727173139,0.012249999999999999,0.010373047407234551,0.1339408381037667,0.1497225942008756,35.6491966609126,39,1,0
8.0,5,0.7972412656248746,0.8933291783295083,0.6763208786185196,137.5406308376667,0.012249999999999999,0.010373033017787888,0.13396962449095412,0.14970258898353542,35.65240885281081,39,1,0
8.0,5,0.7972259201977997,0.8930700316006492,0.6762581487538004,137.53788185226693,0.012249999999999999,0.010373007329792815,0.1339933053866055,0.14968712075699836,35.65489315990009,39,1,0
8.0,5,0.7972136438561398,0.8928627142175619,0.676207964862025,137.53570248914994,0.012249999999999999,0.01037298703028524,0.1340122502797159,0.14967473841222986,35.6568822188851,39,1,0
8.0,5,0.7774047536625802,1.0123208864784605,0.8974004906842243,144.4339304265492,0.012249999999999999,0.01067588221036625,0.18772453281911008,0.18843918102101265,29.786831039076397,39,1,1
8.0,5,0.7823390632904329,1.0143741322930397,0.6609859962018644,142.6941289552503,0.012249999999999999,0.010483922669844447,0.1129433617843898,0.14110734648772852,37.104410437696934,39,1,1
8.0,5,0.7760272632002587,0.9994064678407493,0.6507638031049905,143.47667416831422,0.012249999999999999,0.01051075657393397,0.1123241829174913,0.13749933346206772,37.7588383782092,39,1,1
8.0,5,0.7941200674349431,0.7590741840578002,0.595648687850618,137.21158595399916,0.012249999999999999,0.010296691793237087,0.13125160073353387,0.13162430785518872,38.88700532142281,39,1,1
8.0,5,0.7894612067460977,1.0074315558117055,0.7538733492360936,140.41345872885887,0.012249999999999999,0.01051266960553228,0.14124031347911506,0.16418427255802884,33.32141993829477,39,1,2
8.0,5,0.7920977889611235,0.8824872578030574,0.6671417760806257,138.13666144838928,0.012249999999999999,0.010394228656405297,0.1332110407540905,0.146485915078195,36.17960291286223,39,1,2
8.0,5,0.79378520157874,0.9114260726029456,0.6116335692611263,140.043451069601,0.012249999999999999,0.010342323893204433,0.11141387855805095,0.1330368503504455,38.60781353673674,39,1,2
8.0,5,0.7934477190552167,0.905638309642968,0.6227352106250262,139.50884316524233,0.012249999999999999,0.010352250333443521,0.11562679730464147,0.13576710563061403,38.08129068721292,39,1,2
8.0,5,0.7914674821815779,0.9748991709514953,0.8102752379307756,140.1134024910726,0.012249999999999999,0.010531384781598728,0.16418097179181357,0.17619193492271995,31.53380406826627,39,1,2
8.0,5,0.7997455982974216,1.0215952414970628,0.9355714785884318,142.15699154634626,0.012249999999999999,0.010542859417193129,0.19625921592389525,0.20011502010117235,28.27612088740358,39,1,2
8.0,5,0.793177733036398,0.9010080992749858,0.6316165237161461,139.14245412680424,0.012249999999999999,0.010360420890913427,0.11904933045395277,0.13794713695364938,37.675757559911084,39,1,2
8.0,5,0.7929617442213431,0.8973039309806001,0.6387215741890421,138.8874925330661,0.012249999999999999,0.010367096530935536,0.12181991834196763,0.139670409756353,37.36104312408299,39,1,2
8.0,5,0.7846365309446797,0.8921701687117863,0.6639811746616652,139.3915415613017,0.012249999999999999,0.010440075007838435,0.13121242304812977,0.1439866912898899,36.602757979025675,39,1,2
8.0,5,0.7927889531692992,0.8943405963450916,0.6444056145673588,138.7006888817995,0.012249999999999999,0.010372437858226481,0.12406032016301688,0.14104592049064624,37.11478992321244,39,1,2
8.0,5,0.792650720327664,0.8919699286366848,0.6489528468700122,138.5698118567566,0.012249999999999999,0.010376807970260494,0.12586370723272938,0.14214251247428225,36.921861595171535,39,1,2
8.0,5,0.792540134054356,0.8900733944699593,0.6525906327121349,138.46680996464534,0.012249999999999999,0.010380238606226876,0.12731874208174998,0.14301922538141254,36.769290877222815,39,1,2
8.0,5,0.7924516650357094,0.8885561671365789,0.6555008613858331,138.38883389873368,0.012249999999999999,0.010382983476713136,0.12848885456496353,0.14371736107820635,36.64861837306498,39,1,2
8.0,5,0.7923808898207922,0.8873423852698746,0.6578290443247916,138.3376121506219,0.012249999999999999,0.010385284957817724,0.1294242520217495,0.14427102632178207,36.553611119664964,39,1,2
8.0,5,0.7722075478563242,0.9000854033435344,0.6541607155070809,141.4638717759638,0.012249999999999999,0.010511915969659318,0.12779146480399467,0.1388842003820995,37.50497632666459,39,1,2
8.0,5,0.7923242696488585,0.8863713597765112,0.6596915906759584,138.29144327133918,0.012249999999999999,0.01038703801512358,0.13017883421229798,0.14471598081853884,36.47761378929777,39,1,2
8.0,5,0.7922789735113115,0.8855945393818204,0.6611816277568919,138.26045615321166,0.012249999999999999,0.01038850125664261,0.1307814181613447,0.14506961099856677,36.41754528844262,39,1,2
8.0,5,0.7922427366012739,0.8849730830660678,0.6623736574216387,138.23567862374114,0.012249999999999999,0.01038966281573789,0.13126487117966928,0.14535275464594619,36.369659261465216,39,1,2
8.0,5,0.7922137470732438,0.8844759180134657,0.6633272811534361,138.21018638688943,0.012249999999999999,0.010390514410867843,0.131655684455221,0.14558205155289747,36.3310155292311,39,1,2
8.0,5,0.7632417174374447,0.9986955448247457,0.6430969164185588,145.56015771930757,0.012249999999999999,0.010586432130781462,0.11103624249569866,0.13297850436102132,38.620722331842366,39,1,2
8.0,5,0.7921905554508197,0.884078185971384,0.664090180138874,138.2000858265882,0.012249999999999999,0.010391322225267938,0.13196317319540823,0.14576082114014524,36.300971014181734,39,1,2
8.0,5,0.7862895841230138,0.8328162889056953,0.6485534744133621,138.27612300821664,0.012249999999999999,0.010403418354948223,0.1360798204649728,0.14138617632342546,37.054923018475485,39,1,2
8.0,5,0.7921720021528805,0.8837600003377187,0.6647004993272243,138.18550177392757,0.012249999999999999,0.010391883741561601,0.1322131581936874,0.14590691530246622,36.276472258668676,39,1,2
8.0,5,0.7862601399265717,1.0424298604606876,0.9187191667987136,143.89121430093476,0.012249999999999999,0.010629858187753844,0.18841065160066245,0.19425873608061703,29.026315625516283,39,1,2
8.0,5,0.7921571595145291,0.8835054518307864,0.6651887546779046,138.17398271156452,0.012249999999999999,0.010392333279356507,0.13241330002736376,0.14602376329819894,36.25691284407474,39,1,2
8.0,5,0.7920418342518385,0.9176114825247551,0.724499425332263,138.4446052722997,0.012249999999999999,0.010451857005918089,0.14591409138277578,0.15900533634644254,34.119919351978716,39,1,2
8.0,5,0.792145285403848,0.8833018130252406,0.6655793589584489,138.17084669532284,0.012249999999999999,0.010392768927918144,0.132570154576692,0.1461144047727783,36.241755960662914,39,1,2
8.0,5,0.7606867995455415,0.8920362835820559,0.7056107188693403,142.52740983313493,0.012249999999999999,0.01063302766623564,0.14676375130036337,0.1481025646758136,35.91386207366948,39,1,2
8.0,5,0.789926433774958,0.8764667049437933,0.6276209095287092,139.1261077901377,0.012249999999999999,0.010371148972823922,0.1217858175377326,0.13666663403943763,37.912566590443724,39,1,2
8.0,5,0.7921357861153031,0.883138901980804,0.6658918423828842,138.16414762105632,0.012249999999999999,0.010393063744123172,0.1326980826494646,0.1461886134582467,36.22931584476842,39,1,2
