V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
8.5,6,0.7919225257047512,1.0499780471575608,0.8366911856091453,175.2315889516113,0.011,0.01049130677481302,0.16555878571603044,0.16863835488217208,32.63008120016703,39,1,0
8.5,6,0.7976900825657017,1.0455143281660784,0.84695627077277,174.25845986096166,0.011,0.010457938762278192,0.16902148693625837,0.17193623368700128,32.155503393117804,39,2,0
8.5,6,0.7918907396109245,1.0497412143695877,0.856248046242314,175.58822788388582,0.011,0.010500004954929027,0.17183994154282725,0.17225391201798726,32.105179944439364,39,3,0
8.5,6,0.7953674978675684,1.0435995860183873,0.8521264591080433,174.72599824652096,0.011,0.010474231673344438,0.17122258818050834,0.17232033390858736,32.09439069522081,39,6,0
8.5,6,0.7927650938964599,1.0327213101034933,0.7692174752653498,173.8126704081398,0.011,0.010440912103562426,0.146988970612089,0.15573950308937404,34.61310823062691,39,7,0
8.5,6,0.7988246796721468,1.04427255739643,0.6931248221019118,173.3278767898254,0.011,0.010345275549653376,0.12179410193763417,0.14038705358073625,37.199469777250705,39,8,0
8.5,6,0.7910417977718763,1.0484811703924333,0.6680778323832401,175.24012131927293,0.011,0.010370419243806737,0.1144702953133683,0.13301346373663372,38.58136249049673,39,8,0
8.5,6,0.7978973389434126,1.0369608347579262,0.822454490909725,173.59819892782303,0.011,0.010442318566994417,0.1626179141186988,0.16734961978643506,32.816347140144174,39,8,0
8.5,6,0.7998120626230565,1.018638593622813,0.7012465873617023,172.27576917670402,0.011,0.010339190329949432,0.12763166399935835,0.1427806113877171,36.777684599332595,39,9,0
8.5,6,0.7948849590673311,1.0433714658159021,0.7618701458902629,173.69640509275908,0.011,0.010425674924425792,0.14293506481890023,0.15463491610773522,34.79510307515913,39,9,0
