V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
8.5,6,0.8,1.05,0.8196122715760046,173.5219966579183,0.011,0.010431767987565035,0.15941472696264147,0.1672085370238434,32.83683897902536,39,1,1
8.5,6,0.8,1.05,0.8751835774086412,174.51568645890544,0.011,0.01045558466605418,0.17707038010935006,0.17710686720333646,31.35584447813461,39,1,1
8.5,6,0.8,1.0212260892088147,0.6779853763123604,172.63735455312099,0.011,0.01031760209194419,0.12030298254626863,0.13748819152320993,37.72780772658735,39,1,1
8.5,6,0.8,1.019843635977957,0.6767337707287318,172.6182608242537,0.011,0.010316070928645834,0.12011626551584897,0.1372194393282818,37.77748454508374,39,1,1
8.5,6,0.8,0.9880432398542851,0.6948894249971125,171.44111739327462,0.011,0.010324320744950656,0.13005032466761476,0.14174782732664182,36.95799702237953,39,1,1
8.5,6,0.7678797425345649,1.05,0.7707980692399894,178.85990379463007,0.011,0.010608135364246509,0.14695802568842317,0.15044734706399523,35.50096435347311,39,1,3
8.5,6,0.8,1.05,0.7017109097649543,173.20987675201604,0.011,0.01034759572675399,0.12347826009170719,0.14252374504846746,36.822390333547936,39,1,4
8.5,6,0.8,1.05,0.7765441210041295,173.07376337384903,0.011,0.010406083856446462,0.14603151873303927,0.1586404920092051,34.1421441428931,39,1,6
8.5,6,0.8,1.05,0.8050905660097396,173.33215137464776,0.011,0.010423761556085145,0.15487346433237606,0.16434833579591301,33.25998230910909,39,1,6
8.5,6,0.8,1.05,0.7719491852148934,173.05076609995643,0.011,0.010403036200148163,0.14461769069782093,0.1577125498106725,34.290969454625426,39,1,7
8.5,6,0.8,1.05,0.7867098408709491,173.15084379780993,0.011,0.01041270465048612,0.14916520746700124,0.16068886704839302,33.8202083280944,39,1,7
8.5,6,0.8,1.05,0.6706734317280436,173.72143030948752,0.011,0.010318794688970685,0.11441873735689503,0.1353800437542129,38.12272865131629,39,1,9
