V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
7.5,2,0.6536912733622754,0.9317194934760452,1.001928362448393,145.84308512148402,0.016,0.014387771300063497,0.24394683793740113,0.18359918314076906,30.49501217643417,39,1,0,False
7.5,2,0.6527682499716553,0.872667887735368,0.7167754625361666,144.29427436607827,0.016,0.014199316832376345,0.1449453830219275,0.12796163577609015,39.56382739486997,39,1,0,False
7.5,2,0.7017728335459048,0.944335734076134,0.9066284357285065,136.07738578484452,0.016,0.013845257985277373,0.19700721013469127,0.18043082755914686,30.94324010414945,39,1,0,False
7.5,2,0.614575606754613,0.8595144952553734,0.9406598217831448,155.05991073708412,0.016,0.01488862239181867,0.23858445560246722,0.16019517450883589,33.97441864395955,39,1,0,False
7.5,2,0.733875214718958,0.8506070503768898,0.901004501585697,132.7465442792322,0.016,0.013530732675092099,0.20809923829516225,0.18523998937708594,30.261782358171196,39,1,0,False
7.5,2,0.7385880911139013,0.9209343531826637,0.8921592275694427,130.86685189665354,0.016,0.013477795275828057,0.19104220046147022,0.18629687918532367,30.116602863876214,39,2,0,False
7.5,2,0.7536538949306307,0.798933775851543,0.8875108723307219,130.01863727427533,0.016,0.013326623254892787,0.21110511853344613,0.18635690356120455,30.10764518651574,39,2,0,False
7.5,2,0.756303317879489,1.0449545533461904,0.9974169981294875,125.01906083472751,0.016,0.013254293521470355,0.2074989885145134,0.21319934610435265,26.79041748000703,39,2,0,True
7.5,2,0.5267012466604359,0.8669622713711848,0.8161475090454556,174.240053141344,0.016,0.016066923681826745,0.19650786308198248,0.11024303846263125,43.04222387891728,39,2,0,False
7.5,2,0.6775938432626837,0.9979881419027065,0.8807002842334866,138.58727214367167,0.016,0.014075924937359008,0.18165332634095555,0.17075208498891586,32.40821316040641,39,2,0,False
7.5,2,0.7985147805688206,1.0427351889991419,1.0391632589315953,119.65016013527348,0.016,0.012862145796143268,0.2174723429211974,0.23076505957571625,24.867539727784735,39,3,0,True
7.5,2,0.6654207254192506,0.9663225663605525,1.0016821896402903,142.28745470896425,0.016,0.014233501007600445,0.2355192544170207,0.18782696800443938,29.912804061853194,39,3,0,False
7.5,2,0.7674729485509633,1.0497615942746634,1.1942336177641262,122.06760297191059,0.016,0.012930963458763137,0.28397740160444873,0.24917944725619562,23.046579873472993,39,3,0,False
7.5,2,0.7218894293681263,1.0032085450642267,0.9491258949262777,131.46371270958048,0.016,0.013622254892315984,0.20067717783367142,0.19459223837292694,29.02584409444534,39,3,0,False
7.5,2,0.7915315717913615,1.0251233000843218,1.0621339839824693,121.17555135159209,0.016,0.012917757962606528,0.23017319976104028,0.23259944749619108,24.674026894802104,39,3,0,True
7.5,2,0.7749886480016954,1.0487665153222727,1.0127153487157656,122.3869742342112,0.016,0.013075908950321818,0.2100016034665839,0.22097090433548075,25.956883601221236,39,4,0,True
7.5,2,0.7992927332803805,1.023512524430081,0.9974150211477747,120.45804580327452,0.016,0.012893286629993478,0.20494056266566096,0.22314444065734845,25.703438719593063,39,4,0,True
7.5,2,0.7914049711084977,1.0492883402086637,1.1373878112290345,119.6116824348374,0.016,0.012814653783450161,0.2558903545781116,0.24593942121209147,23.344443627705036,39,4,0,False
7.5,2,0.7571623483966152,1.002350032852204,1.0969410158280493,126.62278190875895,0.016,0.013207926261021295,0.25353460342867834,0.22936784558923018,25.019828549094594,39,4,0,False
7.5,2,0.7982762541881181,0.939100245122852,1.1840218148787698,124.365519953164,0.016,0.012791136348278737,0.2958928105619826,0.2509878907040184,22.882039707498798,39,4,0,False
7.5,2,0.7950234228309044,0.7864704353461511,0.8552179379980546,123.71189889539818,0.016,0.012930425520088213,0.1961525404485927,0.1896759873466348,29.658189434898038,39,5,0,False
7.5,2,0.777025596934115,1.0295849808001258,1.1160158914887424,122.58261104732411,0.016,0.012985006187092887,0.2530969869527825,0.23822877602891332,24.09778683710616,39,5,0,False
7.5,2,0.7688753139083164,0.9979018867284842,0.8230720774591382,125.63812942597164,0.016,0.01315438338493079,0.1515756085119148,0.18074252756427084,30.894843480904125,39,5,0,True
7.5,2,0.6875519869994089,1.0478250240744202,1.1540642059428312,134.25153213769602,0.016,0.013775015889001489,0.2815660602922308,0.22172410707857088,25.87407328055054,39,5,0,False
7.5,2,0.7751850362470245,0.988707749925456,0.9645308642301542,124.61251723483451,0.016,0.013129865097569072,0.20171344255829873,0.21027272209877723,27.118495649662254,39,5,0,True
7.5,2,0.7733853824911557,1.0499773724098822,0.8144360607691274,124.50914794524051,0.016,0.013100021689922262,0.14153740924490907,0.18037686131444663,30.94741042588159,39,6,0,True
7.5,2,0.7660335600853216,0.7621976376529412,1.0400397196953606,132.73711199677567,0.016,0.013249244307244678,0.28207975904035715,0.21396178463948876,26.705732227086923,39,6,0,False
7.5,2,0.779084858987326,1.0435721037019634,0.7851768472362354,124.57928069259118,0.016,0.013040486777590787,0.13256969261036997,0.17516596249994887,31.725415824740473,39,6,0,True
7.5,2,0.7987333003767357,1.0487382768268911,1.0429784245942022,119.34602006495788,0.016,0.012852593802326819,0.2179143518735402,0.23164307459501587,24.774783509870588,39,6,0,True
7.5,2,0.78264848212944,1.0493640208966055,0.966617995690553,121.6577187532345,0.016,0.013028819237462245,0.19204764469585256,0.21390777316569598,26.71068420647083,39,6,0,True
7.5,2,0.7874643574507199,0.8894120414039051,0.9227115016948425,125.07639455122639,0.016,0.013048260677493945,0.2019407995808311,0.2029212917747078,27.976993785109517,39,7,0,True
7.5,2,0.7933305522964866,1.0325574763633634,1.1308207141055742,120.3142549870214,0.016,0.012823998740698221,0.25583798200901736,0.2447444240734583,23.4576436635379,39,7,0,False
7.5,2,0.7967130207338969,1.049776677047386,1.025585048948606,119.63482872143891,0.016,0.012880839797252889,0.2115472619411166,0.22816808222690485,25.14739647495496,39,7,0,True
7.5,2,0.7999025675394149,1.0499043143888993,1.081004888248611,118.94609033008254,0.016,0.012808950239378097,0.23203479004645716,0.23851201918210593,24.06801604136507,39,7,0,True
7.5,2,0.7958315799654094,1.0040442462506467,1.132660521213026,121.45562376435467,0.016,0.012827105617291125,0.26136573033785604,0.24466097249258079,23.465448920414335,39,7,0,False
7.5,2,0.7984523129425598,1.020458924266822,0.9707470343951821,120.72941041856494,0.016,0.01291140695461502,0.19584526439585087,0.21791483911479714,26.279678961500682,39,8,0,True
7.5,2,0.7893195315097778,1.0446386377869812,1.1011224519170348,120.35528439080551,0.016,0.012881783468096248,0.24247694068984751,0.2392470033023087,23.995798123488676,39,8,0,False
7.5,2,0.7993859900014817,1.0486423146635817,1.1292099960306117,118.74934993264208,0.016,0.012759417510885822,0.25133887458384546,0.24650718494691218,23.290607612239526,39,8,0,False
7.5,2,0.798841007761078,1.0286561382556731,1.0904373771716542,120.03453841034914,0.016,0.012827457762775371,0.23946388355990744,0.23922083167037977,23.99775633515874,39,8,0,False
7.5,2,0.794590772038228,1.0497551356581334,1.0794548546100113,119.59420545143246,0.016,0.01285504989451284,0.23228845485562666,0.23698798297722698,24.221620671215703,39,8,0,True
7.5,2,0.7695531799075592,1.0338325108135338,1.0473579995341278,123.58878044026442,0.016,0.013113282638043297,0.22634058437982477,0.22517810325780552,25.475852815067658,39,9,0,False
7.5,2,0.7999446493916621,1.046552999117513,1.0715455209174491,119.15086101419196,0.016,0.012820596998497389,0.22893732477605225,0.23679957749793437,24.24041393872959,39,9,0,True
7.5,2,0.7883337338226868,1.0316392918865502,1.0486661596560543,121.31820555757017,0.016,0.012950239508542134,0.2243888499699528,0.22975223087090466,24.97642587105239,39,9,0,True
7.5,2,0.7957279869300052,1.0499439421474253,1.0733911718699987,119.48322423748591,0.016,0.012851108429635345,0.22973960589308712,0.2362283327044144,24.29899771038716,39,9,0,True
7.5,2,0.7837042523056595,0.9960719771428669,1.0717504685544734,123.41427030927844,0.016,0.012999588260226949,0.2402271411650581,0.23150086323141658,24.790694932547087,39,9,0,False
7.5,2,0.7968525234199032,1.0217989175175355,1.0792759073531044,120.63013708893268,0.016,0.012860671138586681,0.23658455389469074,0.23665023654810977,24.255820307048523,39,10,0,True
7.5,2,0.7983090476843759,1.0460095943009098,1.0241370603271356,119.6094167972785,0.016,0.012871366781282166,0.21137409222976028,0.22818128749115146,25.14587978065147,39,10,0,True
7.5,2,0.799951563457232,1.0337346272804608,1.0409639463226403,119.8546572629431,0.016,0.012856037340458405,0.21939326730615405,0.23116626031233187,24.82494589546314,39,10,0,True
7.5,2,0.7993467026916173,1.0498740438693375,1.0840539559196052,118.99426527457186,0.016,0.012810555870716967,0.23330769756953432,0.23890456611468344,24.02902992601789,39,10,0,True
7.5,2,0.79988311372958,1.0440011678623855,1.0496152095605533,119.38593834340935,0.016,0.012841922988696438,0.22100390456962293,0.2329248572687024,24.639263004847965,39,10,0,True
7.5,2,0.7992780953217339,1.0489189477238439,1.0545105815333686,119.21395689492202,0.016,0.012838892341945303,0.22215362960856813,0.23376785509681036,24.55126534933668,39,11,0,True
7.5,2,0.7991174068150981,1.0481102436248457,1.0349145389236234,119.37276279521582,0.016,0.012855795162623173,0.21493532579076266,0.23030155413359168,24.91686767011258,39,11,0,True
7.5,2,0.7942310319648132,1.0433640419776442,1.0573159226365665,120.05175423698111,0.016,0.012883704176002738,0.22487826599825236,0.2329267492972601,24.639427093340153,39,11,0,True
7.5,2,0.7998887104188399,1.0461530820597706,1.0837967985808226,119.10963972663362,0.016,0.012809713027985071,0.23374110334326997,0.23887650729340304,24.03177748480306,39,11,0,True
7.5,2,0.7997504811713324,1.0481116283671295,1.1053942025006753,118.89736539735623,0.016,0.012785927366832758,0.24188561083302276,0.24257154577102455,23.66741675053689,39,11,0,True
7.5,2,0.7981509349421584,1.0497132197154906,1.1161673903745164,118.93330949753981,0.016,0.012784988411645416,0.24614401329583255,0.24404854789532043,23.524050461495893,39,12,0,False
7.5,2,0.7997151504785237,1.0482810760400907,1.104275959978755,118.90067203556217,0.016,0.012787336191023565,0.24142133262127877,0.24238081030179645,23.68613160109436,39,12,0,True
7.5,2,0.7996084454249817,1.0488621439846952,1.092625103175198,118.96135545473248,0.016,0.012800500827134492,0.23676736380659252,0.24040524060535423,23.88083467442084,39,12,0,True
7.5,2,0.7991769825182642,1.0499874213371672,1.0847046541362353,119.00458254074854,0.016,0.012811201435671297,0.23356825324889852,0.23897987063670845,24.02157604912028,39,12,0,True
7.5,2,0.7991467221280475,1.0401077578473015,1.096298779468504,119.42119397270261,0.016,0.01280856665963467,0.23975803024593,0.24064855767371238,23.856936658011502,39,12,0,True
7.5,2,0.7997144620368601,1.04895425785585,1.1336089450748983,118.65991315959212,0.016,0.012750577752288921,0.2530019724506112,0.2473422547470327,23.21283158539366,39,13,0,False
7.5,2,0.7982492181230699,1.041508469530097,1.13629670616816,119.21023083671128,0.016,0.012766723301200567,0.2556420998126578,0.24717648100873293,23.22830707017048,39,13,0,False
7.5,2,0.7995209785405892,1.0470230194157368,1.103822507926575,118.99158145022585,0.016,0.012790710544488382,0.24148482220718354,0.24221826230518742,23.702125415841543,39,13,0,True
7.5,2,0.7999787309197157,1.0473363769044466,1.103561145728799,118.92175787846777,0.016,0.012786869086884175,0.24125632051255677,0.24229337549820856,23.69470626678486,39,13,0,True
7.5,2,0.7999798051395776,1.0144504319981436,1.1154707291244372,120.49059990677057,0.016,0.012803661200668587,0.25174749074941527,0.24320321052080154,23.60573400599283,39,13,0,False
7.5,2,0.7998243757835383,1.0444171372961544,1.0986602252230002,119.1161098405254,0.016,0.012796372035944652,0.2398458776234373,0.24134540539904317,23.78845555038452,39,14,0,True
7.5,2,0.7995417842126484,1.0486614700117953,1.1242827036837664,118.76587894325569,0.016,0.012764424494709202,0.24933209260974615,0.24571458736754123,23.365095000249262,39,14,0,False
7.5,2,0.7998654755920712,1.041701735821793,1.112090890569314,119.16788161289618,0.016,0.012783462171168913,0.24560960448630798,0.2435138392165031,23.575585635037463,39,14,0,False
7.5,2,0.7999133179128517,1.0497512036180983,1.070709105863772,119.009976591908,0.016,0.012818766847827007,0.22809720394670013,0.23674169965848088,24.24630539875971,39,14,0,True
7.5,2,0.7986379104739074,1.0486692197097274,1.1250426775896925,118.86605089007729,0.016,0.012770935643473764,0.24978825050967737,0.2456239651085818,23.373717785468678,39,14,0,False
7.5,2,0.7999874533452488,1.046204830326046,1.067464005316131,119.18445618938824,0.016,0.012824259415198928,0.22742155502805997,0.23610013066095606,24.31186248136661,39,15,0,True
7.5,2,0.7999958434605341,1.0489836680201277,1.0748581621716533,119.01330681654645,0.016,0.012814918886652928,0.2298029197097142,0.2374505233697031,24.174456624476665,39,15,0,True
