V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
8.5,5,0.7999487143082858,0.9312995217847218,0.6932127493662027,170.6273291017442,0.012249999999999999,0.010743424297655874,0.13375959257984718,0.1385162616053985,37.538994251627265,39,4,0
8.5,5,0.7607587280170834,1.0242596765567045,0.7037964649285442,179.8988610942155,0.012249999999999999,0.011040765333278501,0.1264569949656377,0.13170577788730461,38.84154357242334,39,7,0
8.5,5,0.7926529243313856,0.9110907821184924,0.6813264074848222,171.51113018932028,0.012249999999999999,0.010774644561905699,0.1337539697457218,0.1346248064197007,38.267586057194066,39,9,0
8.5,5,0.7940804117259754,0.9293939548672758,0.7068881730655052,171.47945717277875,0.012249999999999999,0.010793580477003968,0.13886380615699395,0.14026737664766198,37.221182658188006,39,10,0
8.5,5,0.7994404799973878,0.923982500150496,0.7086166487144381,170.44773970295716,0.012249999999999999,0.010759119663296903,0.13984790228593635,0.14182150132465382,36.94508874803942,39,11,0
8.5,5,0.7994612657943074,0.9222781733659352,0.6758161812656162,170.71669992417918,0.012249999999999999,0.010728174737918131,0.1297308419946055,0.1346931573327574,38.254083378318334,39,11,0
8.5,5,0.79311087299689,0.971669721499254,0.7223383950188845,172.55228671452488,0.012249999999999999,0.010824206071363899,0.13722749505337162,0.14305925228287555,36.72954624549934,39,12,0
8.5,5,0.7994183536525927,0.9431374633893472,0.7237036955844774,170.8291710232389,0.012249999999999999,0.010777202645044363,0.14158729838626463,0.14494582424364802,36.405088739949456,39,12,0
8.5,5,0.7998462425334611,0.901049023909641,0.6700640120725991,170.22454924823944,0.012249999999999999,0.01071527399541362,0.13121170409220742,0.1337384059788893,38.438833897294224,39,12,0
8.5,5,0.7973857901647027,0.9200036554843237,0.7045436861644375,170.72216452427705,0.012249999999999999,0.010767743953188202,0.13935740010336886,0.14053602683536595,37.17289369062562,39,12,0
8.5,5,0.7929190812451332,0.9290527533678509,0.7127627948880851,171.64985706455855,0.012249999999999999,0.010806448057481918,0.14089319849323867,0.14128706746097588,37.03961039674211,39,12,0
8.5,5,0.797983834987432,0.9161213203708961,0.678333918520575,170.77289392403426,0.012249999999999999,0.010738543358391599,0.13159371719860755,0.13500804207174308,38.19379409534243,39,13,0
8.5,5,0.7992137168665671,0.9167479566226663,0.6717758607197822,170.68554500993753,0.012249999999999999,0.010724608044183643,0.12933764445274465,0.13382115919529639,38.422748242721916,39,13,0
8.5,5,0.7990958217249464,0.9209378114661608,0.6700489662077334,170.8390657248987,0.012249999999999999,0.010724709253788692,0.12816207384797074,0.13337755550789993,38.50939540526659,39,14,0
8.5,5,0.7976264234967503,0.930070362478224,0.6883737397641208,171.03730058937464,0.012249999999999999,0.010753563446336347,0.1326115942597127,0.13698869002042807,37.820418332093254,39,14,0
8.5,5,0.7966995761055918,0.9019648620787168,0.6707093779549363,170.76167414379015,0.012249999999999999,0.010736269133891089,0.13151402627650072,0.1332425936178262,38.535995786737914,39,14,0
8.5,5,0.7982666771133984,0.9006800726432522,0.6614805562225449,170.63184884042445,0.012249999999999999,0.010717095449839164,0.12867506007375518,0.13156688731640528,38.8672548946032,39,14,0
8.5,5,0.7971370181078297,0.918670710384155,0.6757518856764699,171.01502790682753,0.012249999999999999,0.010742148799134182,0.13044806087149452,0.1342507634735716,38.339496376236745,39,15,0
8.5,5,0.7997647713857919,0.8863446319588146,0.6726818717408765,169.856021833216,0.012249999999999999,0.010714985327713592,0.13443238275441396,0.134433759813249,38.30400904512382,39,15,0
8.5,5,0.7992459132589315,0.924722305508632,0.6600217672727537,171.1260334919607,0.012249999999999999,0.010715222767031816,0.12446052200636076,0.1311659825944579,38.947403359397555,39,15,0
8.5,5,0.7981308168774071,0.9056313436495557,0.6661117482736291,170.6895269680934,0.012249999999999999,0.010723538447768344,0.1293697287949346,0.13249515240006093,38.68333812615843,39,15,0
8.5,5,0.7987920711262699,0.8914066532242516,0.6604567811682888,170.3353280024944,0.012249999999999999,0.010710636677650697,0.12977977315789327,0.1315482776545079,38.8709394481612,39,16,0
8.5,5,0.7993630216409224,0.9078730107690847,0.6836972029513101,170.27823292070207,0.012249999999999999,0.010732803272129367,0.13449483350483943,0.13653594815697595,37.90472912856873,39,16,0
8.5,5,0.7994379899849057,0.9139289457189507,0.6764141442530596,170.50618086025005,0.012249999999999999,0.01072690119084609,0.13121820120205593,0.13490494799747368,38.21345040969255,39,17,0
8.5,5,0.7966929747334835,0.9176289343692906,0.6875698051561158,170.90696965048517,0.012249999999999999,0.010755860236297226,0.13438272040067983,0.13674002758903697,37.866757652843276,39,17,0
8.5,5,0.7989997758075179,0.8993801277703646,0.6802463250264276,170.17943654863996,0.012249999999999999,0.010729902333976126,0.13479359172391875,0.13579339349111402,38.04439030278764,39,17,0
8.5,5,0.7985120511409982,0.8905044432068744,0.6694739480620043,170.20285764441576,0.012249999999999999,0.010720826115711582,0.13282316452710244,0.13345293580047454,38.49466303037377,39,17,0
8.5,5,0.7993892822502374,0.8859660682999259,0.6635666937416734,170.05014544591694,0.012249999999999999,0.010708603043723909,0.13159997183418784,0.13239792914685866,38.70242469863587,39,17,0
8.5,5,0.7998147899475418,0.8833851723981063,0.6636373576450233,169.91631381303165,0.012249999999999999,0.010705373632296667,0.1320098972982429,0.13252462280254235,38.677449518705124,39,18,0
8.5,5,0.7991467966206202,0.893243367405318,0.6663842593297036,170.21417303359434,0.012249999999999999,0.010714459779630257,0.1313437539955761,0.13288439360650517,38.60639140220497,39,18,0
8.5,5,0.7985598834505246,0.9102270157516573,0.6681095340397528,170.69384867455594,0.012249999999999999,0.010723747047283396,0.12924912231455735,0.1329649418685995,38.590530347097015,39,18,0
