V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
8.0,4,0.8,0.9197228422417516,0.6767720301785339,140.9580263112087,0.013499999999999998,0.010955340561637905,0.12482604066446709,0.14586678679140805,36.28280856059143,39,1,0
8.0,4,0.8,0.9444305441510382,0.8196188023992279,141.55342161988716,0.013499999999999998,0.011080734788520199,0.16655698372418248,0.17643486267757894,31.496591075906583,39,2,0
8.0,4,0.7931851412859673,0.892995563694886,0.7686192653233483,141.3101554171286,0.013499999999999998,0.011077400764422317,0.15925043434837327,0.16478899195006505,33.23066485875521,39,5,0
8.0,4,0.7951921364011603,0.9375399209682079,0.7182222791526949,141.47571906798166,0.013499999999999998,0.011029944386359155,0.1354051429553758,0.15432317791404113,34.881542024819396,39,5,0
8.0,4,0.8,1.0387410573104823,0.9620956852075908,144.81355881137193,0.013499999999999998,0.011152044056108756,0.1976425788637184,0.20214553474317265,28.028688817367822,39,6,0
8.0,4,0.7743786830812689,0.9731806003169955,0.8401571118626904,145.90497010253162,0.013499999999999998,0.011278625115392515,0.17100405311513514,0.17472677667965278,31.75733754922375,39,6,0
8.0,4,0.8,1.05,0.8160232401497841,142.2184028504864,0.013499999999999998,0.011093119930178825,0.14882268502801385,0.1758299358754286,31.587882719997033,39,8,0
8.0,4,0.8,0.9754503877258769,0.9012544895913116,143.41324814837384,0.013499999999999998,0.011130961482104816,0.18841888747692243,0.1912350260004921,29.413613000784334,39,12,0
8.0,4,0.7841421058311937,1.0491520557925191,0.6588070089298953,147.22197130028735,0.013499999999999998,0.011089743020335278,0.10387652807005446,0.1364474539696456,37.953789049465286,39,2,2
8.0,4,0.7697873711069065,1.05,0.7085757029648208,147.42996697316082,0.013499999999999998,0.011226195679252336,0.11900033264821659,0.14557525183277945,36.333269120807195,39,5,2
8.0,4,0.8,0.9784076780184783,0.6206852189731442,144.8706620644236,0.013499999999999998,0.01093147180152266,0.10049228175887162,0.13121179021212506,38.96912597680045,39,6,2
8.0,4,0.7574659481219422,1.05,0.7093521475302735,149.27890265374887,0.013499999999999998,0.01131520510365867,0.12013220745098026,0.1429808158100148,36.7776772103231,39,12,2
8.0,4,0.8,1.01067761999796,0.8325101016488639,142.14648347470697,0.013499999999999998,0.011098580441177902,0.159869374449733,0.17892135246601185,31.122537353333165,39,1,6
8.0,4,0.8,1.05,0.8475186078596523,142.4963433156406,0.013499999999999998,0.011111023705521491,0.15861811815795362,0.18178853427223657,30.706838294748877,39,2,6
