V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run
7.5,6,0.7863029940158077,0.8667939367593159,0.8031163591969896,109.30903152090391,0.011,0.009732353941894915,0.18720397294006366,0.19446297644394064,29.039322943578217,39,1,0
7.5,6,0.7952009173632797,0.9633944019708353,0.8113698320943429,109.5404926672794,0.011,0.009707411676123734,0.17001330587185792,0.19790614563021122,28.592467804660664,39,1,0
7.5,6,0.7898833586892682,0.9848373694693744,0.6657135617035854,110.60724475688878,0.011,0.009648841162559593,0.1208748980195963,0.16499435032599918,33.2342519997103,39,2,0
7.5,6,0.7817099801800025,0.8213038638580128,0.6325875130828655,109.57427986574268,0.011,0.009642476245150725,0.1369075785579012,0.1572225181314136,34.43910202257655,39,2,0
7.5,6,0.7999744980923658,0.9203655762240415,0.7365942579709185,108.06959856625895,0.011,0.00962966482121987,0.15245078143101645,0.18391449765945228,30.443049757644392,39,2,0
7.5,6,0.7707137710343512,0.9521144130683251,0.8962322496269172,113.41281223163803,0.011,0.00987791063895509,0.20386714460395342,0.2077522986237286,27.406940980710818,39,2,0
7.5,6,0.7959415421507593,0.845668575914996,0.7107273847900359,107.6359511829623,0.011,0.00962202346559745,0.15785692363301138,0.17807277319269238,31.285151397652577,39,2,0
7.5,6,0.7996359918519121,0.806653256924573,0.6268095647791921,107.71801483578929,0.011,0.0095390453221787,0.13612027433242183,0.1598800641566801,34.01505361640625,39,3,0
7.5,6,0.7982077913849951,0.8865651246713869,0.73704960618404,107.833792388078,0.011,0.009633035747366358,0.15887605316857295,0.18382557491453064,30.455651722050984,39,3,0
7.5,6,0.7901260276392671,0.874282599940423,0.8393576778058467,109.38851699254869,0.011,0.009727046636218777,0.19825210038081484,0.20213455989243706,28.070902388138542,39,3,0
7.5,6,0.7967858736758968,0.8172583426934923,0.702453972441759,107.2991488673135,0.011,0.009608095041662398,0.1605585600649218,0.17670644667879468,31.491288881011485,39,3,0
7.5,6,0.758453068847124,0.9004343803667608,0.6784167228391174,112.54528524635184,0.011,0.009823122782512754,0.14031397609554527,0.16193062885582366,33.69895904921545,39,4,0
7.5,6,0.7711955458971768,0.8661962791208687,0.6438808187553662,111.03305339666151,0.011,0.009715525524111411,0.1336635555092301,0.15706507897603691,34.46514484801754,39,4,0
7.5,6,0.7043429457467179,0.8533267775620943,0.6083525479326648,119.52664179781706,0.011,0.010094921212620256,0.12937637338949223,0.13309121208874097,38.6300316380785,39,4,0
7.5,6,0.797033158517133,0.8559269888249538,0.5394004007075806,111.74745492816493,0.011,0.009492350889390981,0.10039608509957036,0.13517276571814277,38.22353300608717,39,4,0
7.5,6,0.7980944138993821,0.8483675229949798,0.8085789729758361,107.894029117091,0.011,0.009663959556591196,0.19197233036329678,0.1981983132460866,28.55533495828647,39,4,0
