D = propeller diameter [m],AEdAO = expanded area ratio,PdD = pitch ratio,Z = propeller's number of blades,P_B = power brake,n = Propeller angular speed [rpm],fitness,t075dD,tmin075dD,tal07R,cavLim,Vtip,Vtipmax,penalty,valid
0.7817962699848555,0.8035757363652855,1.185022159104453,7,185.25840859847517,0,-324.0452572483535,0.009749999999999998,0.010067503613118473,0.3727757874439467,0.217031013532146,26.285352361027442,39.0,0.7491527628885214,False
0.5341126734573354,0.8188638086394177,1.1330299397899999,7,259.1825819003489,0,-781.6258181070641,0.009749999999999998,0.012205968797372187,0.383947273938917,0.13641642055218361,37.941141544099054,39.0,2.0157343613761256,False
0.7993470726665218,0.7543313358044708,1.3992048010089406,7,197.01377622319671,0,-401.52424416629935,0.009749999999999998,0.009723893799992115,0.4892864369649091,0.2400755869708466,23.81546241373536,39.0,1.0380516117381198,False
0.6138389388123159,0.9037873925036337,1.2531559897507647,7,236.7404726701331,0,-557.0455964444947,0.009749999999999998,0.011291581704386489,0.39067572391101896,0.17626150830286236,31.496505979820405,39.0,1.3529799960341589,False
0.5770657715315891,0.9212786165606706,1.3228683626737914,7,257.20200467821485,0,-673.9433687149354,0.009749999999999998,0.011553790363194509,0.41906290828916976,0.17006270106878352,32.44069373160354,39.0,1.6202881643869973,False
fitness at iteration,0,,,,,-324.05412797131817
0.6769475145878698,0.7354167437573395,1.3032263550823624,7,220.61055572658017,0,-556.2698794056485,0.009749999999999998,0.01066609534596105,0.47927008301599855,0.19677595001507192,28.663790043871902,39.0,1.5215016460729873,False
0.6630520712288828,0.8579763672106673,1.3788734568454826,7,230.90170710452202,0,-542.878137194165,0.009749999999999998,0.010687624776501894,0.45511286359640446,0.20107555673270042,28.1252654761404,39.0,1.3511222329266752,False
0.7959999983110579,0.7015778631421427,1.1637275734579489,7,181.06147257757382,0,-344.5821059102505,0.009749999999999998,0.009974743699422176,0.40706121453590965,0.21645388786418823,26.345791316179216,39.0,0.9031221883088243,False
0.7999103149467851,0.719802145649313,1.3249356660494909,7,190.96496409904654,0,-389.0386519190476,0.009749999999999998,0.009811454816190982,0.47387507893364383,0.2333254631099479,24.502114397253838,39.0,1.0372252771836592,False
0.7888428522861278,0.8646465356250509,1.3196805398951326,7,192.03691796321073,0,-335.9030746592738,0.009749999999999998,0.009900809880103818,0.40373732923614286,0.23284566280293068,24.55349321783721,39.0,0.7491588504020049,False
fitness at iteration,1,,,,,-324.05412797131817
0.7854765587551757,0.8603942329511367,1.2556389510865895,7,188.63005816905527,0,-321.16502980042753,0.009749999999999998,0.009992350411110849,0.3793717793304823,0.22603652774096722,25.287801366291134,39.0,0.7026185164645973,False
0.7143922915735176,0.9062611430829961,1.3047856082746883,7,209.04523098083695,0,-402.90067285403967,0.009749999999999998,0.010412004728455366,0.39411543832658635,0.2114629564671583,26.90202391588876,39.0,0.9273373085988903,False
0.7267055336562476,0.8494532075426999,1.3164155558314743,7,206.85243190035837,0,-414.9065965030374,0.009749999999999998,0.010304418044566577,0.4203638955283611,0.2153497277591278,26.469994838460362,39.0,1.0058096136036705,False
0.7859689643025131,0.9594886088724871,1.2341569177159166,7,187.64199633423326,0,-284.2546866502332,0.009749999999999998,0.010025257493022473,0.3346826175602612,0.2250086138215356,25.402140561699916,39.0,0.5148777576631124,False
0.7992464987827461,0.7617792830864933,1.3024267900277327,7,189.08114858324006,0,-361.2604156391132,0.009749999999999998,0.009846643771216787,0.4413538936820789,0.23219430190996604,24.62161722738644,39.0,0.9106104354981419,False
fitness at iteration,2,,,,,-284.26489167990303
0.790519314164714,0.8868137814898284,1.2085506560921457,7,184.98824849627445,0,-294.350370629474,0.009749999999999998,0.010010248696908442,0.3489908092861522,0.22297083155238118,25.632995766921287,39.0,0.5911841591137723,False
0.7659941524593777,0.9004823655010143,1.1956164771758158,7,189.6710918552467,0,-310.2672151137453,0.009749999999999998,0.01017765158307828,0.34295359959705424,0.21518003640123393,26.485400595304668,39.0,0.635817098319523,False
0.7436040670452936,1.032797360552304,1.0680353624194183,7,191.3156155711912,0,-266.5740260299885,0.009749999999999998,0.010449409677341773,0.25839864259329576,0.19480611051348992,28.916555765254248,39.0,0.3933730669820445,False
0.7999397727196205,0.9851351623691195,1.2623505888126263,7,186.21225394787626,0,-272.24466016424526,0.009749999999999998,0.009912912056487219,0.33457844261687003,0.23144955275635248,24.700626554977124,39.0,0.4620125925786326,False
0.781201907639172,0.9252564367603267,1.305197091842637,7,192.5864153768754,0,-318.02399083530867,0.009749999999999998,0.00997026353897545,0.3751872846195194,0.23028371430522437,24.826290134284054,39.0,0.651331378762944,False
fitness at iteration,3,,,,,-266.58322708642805
0.789380734734074,0.8901713594122758,1.1572322597923295,7,182.74930553240077,0,-281.15093228879556,0.009749999999999998,0.010058986473019406,0.3271660592459934,0.21699189820522785,26.288923922722383,39.0,0.5384514401831668,False
0.6699856154779523,1.0268072363542147,1.0536862584683313,7,209.29517288713828,0,-342.8480089076891,0.009749999999999998,0.01100466641938103,0.26435847448208866,0.17345271245373411,31.923690061340917,39.0,0.6381075787761659,False
0.7626596853524398,1.018440411655423,0.8831337071401675,7,182.51614238871838,0,-215.53984899823587,0.009749999999999998,0.0103533915851265,0.19432394115670978,0.17309300923186718,31.97425953655947,39.0,0.18093581300433376,False
0.7975075519749691,0.9962630977088734,1.2518779690136008,7,186.2658261629905,0,-268.9801955636959,0.009749999999999998,0.009940534870295474,0.3275182076787901,0.22985366290325343,24.87119786064102,39.0,0.44406626327862647,False
