V_S,Z,D,AEdAO,PdD,P_B,Strength,Strength_Min,Cavitation,Cavitation_Max,Tip_Velocity,Tip_Velocity_Max,Generation,Run,Valid
7.0,2,0.6671571518414986,0.840715862310822,1.0478311696956937,149.3698858743345,0.016,0.013598786118997104,0.2795300625790788,0.2117841813344852,26.991988359758675,39,1,0,False
7.0,2,0.659460870316833,0.6140047167195773,1.0746913811876375,214.87236958706126,0.016,0.01362857831828693,0.3673742161037152,0.2030650181108086,28.003719344802718,39,1,0,False
7.0,2,0.6259759061661316,0.9588167216386724,1.352788156520932,190.70363282576875,0.016,0.013464262500869276,0.4098723197455074,0.24794444197295984,23.21305652400458,39,1,0,False
7.0,2,0.6127104200396968,0.8895647733281191,0.9716133802538929,157.50907078207894,0.016,0.014226578879752686,0.24403333680872022,0.18461487405173105,30.38827304243251,39,1,0,False
7.0,2,0.666059570916665,0.9875605906981532,0.5603523110368926,135.25890914572796,0.016,0.013352632989067758,0.08007346801583669,0.10589311356068581,44.00675620924178,39,1,0,False
7.0,2,0.5259487804478713,0.31546207382484465,1.2470754119560385,761.1293471632362,0.016,0.014731967158676494,0.770723179825915,0.15429837649175437,34.9587677054012,39,1,0,False
7.0,2,0.737470704230596,0.9583263991689102,1.3894235080921797,138.01405335539013,0.016,0.012241795923016382,0.4019720996697114,0.2898325999392229,19.827946603723387,39,1,0,False
7.0,2,0.7402459781606129,0.6465048329644419,1.205526239451528,183.05210376618203,0.016,0.012757741392405025,0.4049232881223395,0.24556973332047627,23.427439085975575,39,1,0,False
7.0,2,0.5386457603417739,0.7850519742594241,0.6327866560588303,219.24733157498795,0.016,0.014781519893637652,0.13840432997140664,0.0930726924482982,47.09680558271133,39,1,0,False
7.0,2,0.5331125423492915,0.7922471920989551,0.6243646562137524,227.73631280050728,0.016,0.014849407129063942,0.13459502607422466,0.08911395822285323,48.00050093404923,39,1,0,False
7.0,2,0.6725340295513996,0.8473090804365179,1.0570467576400304,146.8204299789357,0.016,0.013536104785075283,0.2811177122300118,0.2151769455743837,26.61754819112064,39,2,0,False
7.0,2,0.6600532417174658,0.6129164344812393,1.0780072706093489,215.56360573539925,0.016,0.01362077844440985,0.3694632714033254,0.2036319347149074,27.93520179978484,39,2,0,False
7.0,2,0.6200744738543066,0.949623938303163,1.3378818355263635,195.05592815616876,0.016,0.013589433736601509,0.40532622330484436,0.24339872603828477,23.64191415497636,39,2,0,False
7.0,2,0.6126422190567111,0.8895273516535428,0.9699498811501939,157.2908476088581,0.016,0.014227172678585908,0.24335055759154353,0.18432470422676042,30.42871221672628,39,2,0,False
7.0,2,0.554957408602135,0.7398847011075624,0.5180967915687442,241.7538535466022,0.016,0.014280615938999567,0.10468061339049746,0.06909216140202892,53.38936334920625,39,2,0,False
7.0,2,0.5277041708793915,0.3149352864666082,1.2540133867235261,761.3287559792694,0.016,0.014695773032468272,0.7764823956223044,0.15542347201745818,34.77292971722327,39,2,0,False
7.0,2,0.7417660905257849,0.9636196702526711,1.3993740058703323,136.24742831424803,0.016,0.012166202216505736,0.40501070202043304,0.29282743718710674,19.603599914581036,39,2,0,False
7.0,2,0.7411154174372194,0.6462498391090226,1.2082583829057547,183.17223874768573,0.016,0.0127468033983064,0.4062836170624366,0.24615430023811707,23.372399032524772,39,2,0,False
7.0,2,0.5376069802800917,0.783600249844461,0.6304503135485988,221.56089306116533,0.016,0.014790329494677172,0.13788952103776575,0.09212196047680417,47.309096577586395,39,2,0,False
7.0,2,0.5294762567772616,0.7867899580970634,0.619941221971766,235.46751637089983,0.016,0.01488850605193516,0.134214859698916,0.08681490705842622,48.549707209013704,39,2,0,False
7.0,2,0.6680572782551926,0.8416390925028601,1.0499780132442342,149.06345553746834,0.016,0.013588087623944263,0.28011101130452365,0.21243899858197,26.918529503206585,39,3,0,False
7.0,2,0.6659711283180841,0.6173431371237074,1.0869972379003456,211.968639535253,0.016,0.013557516258051463,0.3710519883971284,0.20689148607192145,27.549658534168152,39,3,0,False
7.0,2,0.6233271843156726,0.9551444764767778,1.3455487566304887,192.45785469556037,0.016,0.013521669974217883,0.4074111845274943,0.24584078613202867,23.408694081117396,39,3,0,False
7.0,2,0.6070381316995664,0.8812204958570841,0.961236069116845,160.82640889577686,0.016,0.014298100760256895,0.24219750741323845,0.18095964447787613,30.904786386628405,39,3,0,False
7.0,2,0.5578576796703014,0.7439102172542597,0.5173845755895272,237.3106873848934,0.016,0.014247258210056223,0.10363166664615786,0.06961527086456448,53.22381155757781,39,3,0,False
7.0,2,0.5282939464710493,0.31172961392633647,1.2579451876875454,768.4654254158646,0.016,0.01467119808600315,0.7850549290589922,0.15562473490005385,34.73998206343116,39,3,0,False
7.0,2,0.5870232821631333,0.7635115717491312,0.8858918308511895,187.00975638047612,0.016,0.014508922488693465,0.23938769427118814,0.15857335388059945,34.260565822659096,39,3,0,False
7.0,2,0.7374600573130741,0.6441549591085949,1.2029242493020547,184.68133561523433,0.016,0.012785112783158683,0.4051852303352351,0.24430368417320272,23.547993974212833,39,3,0,False
7.0,2,0.536087750487791,0.7809486069124193,0.6305094057046156,224.28601542569032,0.016,0.014810053396818401,0.13850009072069466,0.09161898083055786,47.42266933484709,39,3,0,False
7.0,2,0.527936799526273,0.7844666436326001,0.618193920816782,238.78376124701936,0.016,0.014905397162647912,0.13410145271253965,0.08588828064273973,48.77767260353944,39,3,0,False
7.0,2,0.7599146977785888,1.0316411287521643,1.2702230081533499,107.46325175457555,0.016,0.0122853946824892,0.32031120151144093,0.28217525174161423,20.407895344136488,39,4,0,False
7.0,2,0.6617006106919533,0.6140132592192802,1.0798738584893401,214.45232893559668,0.016,0.013603153716309992,0.3696353954140623,0.20444140428263075,27.837977747847773,39,4,0,False
7.0,2,0.6179283905040645,0.9464443265594075,1.3330098002322217,196.66972877984148,0.016,0.013632839667784197,0.4039511233738415,0.24185864994520656,23.792507086422496,39,4,0,False
7.0,2,0.6122474603904889,0.8890605791809637,0.969545317154513,157.54808046474915,0.016,0.014232206191345827,0.24333094845902314,0.18412411923015745,30.4567746397187,39,4,0,False
7.0,2,0.5577235731094528,0.7435414911875037,0.5188786347566658,236.83385023407624,0.016,0.014250701461775815,0.1041938687182844,0.06996283434626062,53.11530059651253,39,4,0,False
7.0,2,0.5239499828861692,0.3118309237900777,1.244280204045138,773.0391001712195,0.016,0.014752811851879639,0.7755357027800092,0.15299969059628715,35.17696849172871,39,4,0,False
7.0,2,0.5876422284689707,0.7644307746485322,0.8866694705835787,186.45744698195404,0.016,0.014501693395772924,0.23941741239086844,0.15893108782922383,34.20379771370769,39,4,0,False
7.0,2,0.7312611482172675,0.6388837651219087,1.1927426953790516,187.5040360613105,0.016,0.012850624566276116,0.40347816949038956,0.24095944358305146,23.874694633544816,39,4,0,False
7.0,2,0.5343357803747113,0.7779856941591478,0.6292197664700263,227.77414828343402,0.016,0.014830099925941113,0.13869319733653238,0.09069929310102232,47.632419078108015,39,4,0,False
7.0,2,0.5297584134937886,0.7877673849234693,0.6193297105002155,234.9637094649083,0.016,0.014883697455715285,0.13381201044508356,0.08676222765412228,48.562529493740676,39,4,0,False
